compartment_no,position_cm,speed_cm_s,motor_current_a,sensor_distance_cm,weight_kg,state,actual_condition
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
3,60.0,0.0,0.1,62.0,0.0,STOPPED,normal
1,60.0,0.0,0.1,62.0,0.2,STOPPED,normal
2,60.0,0.0,0.1,62.0,0.1,STOPPED,normal
