compartment_no,position_cm,speed_cm_s,motor_current_a,sensor_distance_cm,weight_kg,state,actual_condition,event_type
3,48.831,0.25,0.841,50.831,0.546,MOVING_DOWN,normal,TICK
3,48.781,0.5,0.841,50.781,0.546,MOVING_DOWN,normal,TICK
3,48.706,0.75,0.841,50.706,0.546,MOVING_DOWN,normal,TICK
3,48.606,1.0,0.841,50.606,0.546,MOVING_DOWN,normal,TICK
3,48.481,1.25,0.841,50.481,0.546,MOVING_DOWN,normal,TICK
3,48.331,1.5,0.841,50.331,0.546,MOVING_DOWN,normal,TICK
3,48.156,1.75,0.841,50.156,0.546,MOVING_DOWN,normal,TICK
3,47.956,2.0,0.841,49.956,0.546,MOVING_DOWN,normal,TICK
3,47.731,2.25,0.841,49.731,0.546,MOVING_DOWN,normal,TICK
3,47.481,2.5,0.841,49.481,0.546,MOVING_DOWN,normal,TICK
3,47.481,2.5,0.841,49.481,2.0,MOVING_DOWN,overload,OVERLOAD_INJECTED
3,47.481,1.7,1.341,49.481,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,47.481,0.9,1.841,49.481,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,47.481,0.1,2.341,49.481,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,47.481,0.0,2.4,49.481,2.0,FAULT,overload,OVERLOAD_RESPONSE
3,47.481,0.0,1.9,49.481,2.0,FAULT,overload,OVERLOAD_FAULT
3,47.481,0.0,1.4,49.481,2.0,FAULT,overload,OVERLOAD_FAULT
3,47.481,0.0,0.9,49.481,2.0,FAULT,overload,OVERLOAD_FAULT
3,47.481,0.0,0.4,49.481,2.0,FAULT,overload,OVERLOAD_FAULT
3,47.481,0.0,0.1,49.481,2.0,FAULT,overload,OVERLOAD_FAULT
3,40.944,0.25,0.882,42.944,0.663,MOVING_DOWN,normal,TICK
3,40.894,0.5,0.882,42.894,0.663,MOVING_DOWN,normal,TICK
3,40.819,0.75,0.882,42.819,0.663,MOVING_DOWN,normal,TICK
3,40.719,1.0,0.882,42.719,0.663,MOVING_DOWN,normal,TICK
3,40.594,1.25,0.882,42.594,0.663,MOVING_DOWN,normal,TICK
3,40.444,1.5,0.882,42.444,0.663,MOVING_DOWN,normal,TICK
3,40.269,1.75,0.882,42.269,0.663,MOVING_DOWN,normal,TICK
3,40.069,2.0,0.882,42.069,0.663,MOVING_DOWN,normal,TICK
3,39.844,2.25,0.882,41.844,0.663,MOVING_DOWN,normal,TICK
3,39.594,2.5,0.882,41.594,0.663,MOVING_DOWN,normal,TICK
3,39.319,2.75,0.882,41.319,0.663,MOVING_DOWN,normal,TICK
3,39.019,3.0,0.882,41.019,0.663,MOVING_DOWN,normal,TICK
3,38.694,3.25,0.882,40.694,0.663,MOVING_DOWN,normal,TICK
3,38.344,3.5,0.882,40.344,0.663,MOVING_DOWN,normal,TICK
3,37.969,3.75,0.882,39.969,0.663,MOVING_DOWN,normal,TICK
3,37.569,4.0,0.882,39.569,0.663,MOVING_DOWN,normal,TICK
3,37.144,4.25,0.882,39.144,0.663,MOVING_DOWN,normal,TICK
3,36.694,4.5,0.882,38.694,0.663,MOVING_DOWN,normal,TICK
3,36.219,4.75,0.882,38.219,0.663,MOVING_DOWN,normal,TICK
3,35.719,5.0,0.882,37.719,0.663,MOVING_DOWN,normal,TICK
3,35.194,5.25,0.882,37.194,0.663,MOVING_DOWN,normal,TICK
3,34.644,5.5,0.882,36.644,0.663,MOVING_DOWN,normal,TICK
